ID;learningObjectID;learningType;title;description;learningObjectivesSteam;learningObjectives;durationInHours;videoDuration;directLink;contentAvailableFrom;level;role;lscProduct;lscProductCategory;lscProductSubcategory;relatedExams;relatedExamRetirementDate;alternateCertification;certificationRetirement
4ad1ec90-94c3-4f20-9e08-8ff310f5fe9b;1_fcumdiie;Video;Introducing Emarsys Scripting Language in SAP Emarsys;<div><div>Discover how Emarsys Scripting Language (ESL) enhances dynamic content creation through personalization and conditional logic. Learn key concepts like expressions and statements, with examples to tailor marketing messages using customer data.</div></div>;;;;365;https://learning.sap.com/videos/introducing-emarsys-scripting-language-in-sap-emarsys;2025-09-26 15:16:22.809000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
899b957d-f111-4f9a-a7ec-25de447e6d00;1_7e1ixyec;Video;Setting up Adobe Commerce Plugin in SAP Emarsys;<div><div>Integrate Adobe Commerce with SAP Emarsys. Sync contacts, events and products for personalization. Ensure data quality and map fields. Real-time updates enhance e-commerce strategies and engagement.</div></div>;;;;325;https://learning.sap.com/videos/setting-up-adobe-commerce-plugin-in-sap-emarsys-1;2025-09-24 11:23:52.217000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
2eb15e07-1b64-43d3-ab1e-04b309ed4215;1_n0gefnip;Video;Introducing Account Engagement in SAP Emarsys;<div><div>Discover how an integrated marketing solution with SAP Emarsys can enhance account engagement. Learn about the importance of content, context, and collaboration in capturing customer attention and driving successful sales.</div><div><br></div></div>;;;;115;https://learning.sap.com/videos/introducing-account-engagement-in-sap-emarsys;2025-09-26 19:28:26.165000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
9052a563-44fd-481b-9801-158c662d94f5;1_bciuw657;Video;Configuring a Webhook Node in Automation Program in SAP Emarsys;<div><div>This video demonstrates how to set up Webhook nodes for communication between SAP Emarsys and SAP Sales Cloud. Follow the steps to configure presets in the Replicate New Marketing Contact tactic, enabling efficient data transfer for creating tasks or leads.</div></div>;;;;284;https://learning.sap.com/videos/configuring-a-webhook-node-in-automation-program-in-sap-emarsys;2025-10-01 14:01:54.361000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
45551aeb-3ad6-4869-b33f-4e4c7d2059e7;1_vmnqblt1;Video;Integrating SAP Commerce Cloud with SAP Emarsys;<div><div><div><div><div>This video provides a step-by-step guide on integrating SAP Commerce Cloud with the SAP Emarsys platform using the Emarsys for SAP Commerce Cloud plugin. It covers essential setup procedures, including user creation, contact and product syncing, and activating e-commerce tactics like Real-time Abandoned Cart to enhance automated marketing and personalization efforts.</div><div><br></div></div></div></div></div>;;;;201;https://learning.sap.com/videos/integrating-sap-commerce-cloud-with-sap-emarsys;2025-10-01 13:45:59.468000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
f3faf7ef-0908-4d09-9bb2-ec560b134a1b;1_z6smm8pw;Video;Setting Up Shopify Plugins in SAP Emarsys;<div>In this video, we explain, step-by-step, how to connect your Shopify store to your SAP Emarsys account and then demonstrate the data flow using a Shopify event-based automation.</div>;;;;349;https://learning.sap.com/videos/setting-up-shopify-plugins-in-sap-emarsys-1;2025-09-26 02:00:51.458000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
49b3e5b8-bf04-40b5-9ef2-29d330a6475e;1_h3qi6nmc;Video;Setting Up Self-Service Smart Insight in SAP Emarsys;<div>In this video, we'll guide you through setting up Smart Insight using our new self-service tool in SAP Emarsys. You'll learn how to configure the necessary settings for product, sales, and store data, as well as setting eRFM parameters to track customer engagement. This step-by-step process ensures your Smart Insight is ready to analyze and optimize your retail data effectively.</div>;;;;648;https://learning.sap.com/videos/setting-up-self-service-smart-insight-in-sap-emarsys;2025-09-25 20:47:54.723000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
c6e89632-106b-4cb5-afee-64a5eab44092;1_caxm90h0;Video;Exploring the Implementation Steps in SAP Emarsys;<div><div><div><p>Learn the essential steps for implementing SAP Emarsys. This video covers pre-implementation considerations like use cases, user identification, and data mapping, followed by milestones such as configuration, channel activation, and data integration. Understand the process for activating email sending and migrating campaigns for optimal setup.<br></p></div></div></div>;;;;347;https://learning.sap.com/videos/exploring-the-implementation-steps-in-sap-emarsys;2025-09-24 11:26:25.353000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
a432b056-557a-4d35-a0c4-9522cd568fed;1_pgzfhxly;Video;Explaining Data Requirements and Contact Identification in SAP Emarsys;<div>Explore SAP Emarsys data requirements and contact identification. Discover how integrating diverse data sources enhances personalized communication and customer engagement through effective use of internal and external identifiers.</div>;;;;487;https://learning.sap.com/videos/explaining-data-requirements-and-contact-identification-in-sap-emarsys;2025-09-25 21:44:05.331000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
47608471-e2df-417e-83c2-75bdee7747d6;1_p6loc8m8;Video;"Managing Forecasts with Fiori App ""Maintain PIRs"" in SAP Cloud ERP";<div><div><div><div><div><div><div>Dive into the world of planned independent requirements (PIRs) in this episode as we explore how they support production planning and material requirements planning (MRP). Learn about the importance of PIRs, how they're utilized within SAP Cloud ERP, and how the Maintain PIRs app can streamline your forecasting and scheduling processes. Discover seamless integration with SAP IBP and leverage analytics for improved forecasting accuracy.</div></div></div></div></div></div></div>;;;;349;https://learning.sap.com/videos/managing-forecasts-with-fiori-app-maintain-pirs-in-sap-cloud-erp-1;2025-10-13 11:01:21.396000;BEGINNER;;SAP Fiori for SAP S/4HANA;Business Technology Platform;Technology Platform;;;;
ce70ead9-8a92-4ac7-a707-03f5d11c0d19;196916cf-b71-4bb4-8c-da376ca5a000000;Video playlist;Becoming Competent with SAP Emarsys;This playlist guides you through diverse digital channels and loyalty solutions to strengthen your marketing impact. Learn more about the different channels available in SAP Emarsys and how they work.;;;4470;;https://learning.sap.com/video-playlists/becoming-competent-with-sap-emarsys;2025-10-10 17:02:31.454000;BEGINNER;consultant,data_analyst;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
64094cb5-8f97-4e49-b384-d642c2089b94;1_secish87;Video;Working with Mobile Engage  Inbox in SAP Emarsys;<div><div>This video demonstrates how to create and automate a Mobile Engage Inbox campaign, highlighting the benefits of inbox messages such as their persistence and higher engagement compared to push notifications. Using a practical example, it covers steps from campaign creation and content personalization to testing and performance reporting.</div><div><br></div></div>;;;;235;https://learning.sap.com/videos/working-with-mobile-engage-inbox-in-sap-emarsys;2025-09-26 00:05:03.679000;BEGINNER;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
cc3590f4-3178-4455-9099-655959c16e94;1_z876keac;Video;Creating Web Push Campaigns in SAP Emarsys;<div><div><div><div>Learn how to effectively utilize web push notifications to engage customers across desktop and mobile browsers, increasing conversions and enhancing the customer journey. Discover key strategies for creating and managing successful WebPush campaigns in SAP Emarsys.</div><div><br></div></div></div></div>;;;;305;https://learning.sap.com/videos/creating-web-push-campaigns-in-sap-emarsys;2025-10-01 13:50:00.218000;BEGINNER;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
